,df_final_title,index_df_final,my_db_title,index_my_db,fuzzy_value,edited
626,office_4_play_iv,3092,office_4_play_vi,398,94,no
627,office_4_play_iv,3092,office_4_play_iii,407,91,no
637,i_quit_whos_cumming_with_me,3123,i_quit_who_s_cumming_with_me,364,98,no
650,the_exs_anal_payback,3144,the_ex_s_anal_payback,338,98,no
663,i_ts_day_dreams,3186,it_s_day_dreams,357,93,no
664,i_ts_day_dreams,3186,its_day_dreams,358,97,no
665,zz_incs_corporate_orifice,3188,zzinc_s_corporate_orifice,297,96,no
675,news_cast_on_the_boob_tube,3216,new_cast_on_the_boob_tube,380,98,no
691,big_package_for_a_little_pussy,3268,big_package_for_little_pussy,253,97,no
695,how_to_fuck_in_the_office,3292,how_to_fuck_at_the_office,401,92,no
700,blow_job_interview,3303,blowjob_interview,363,97,no
707,sandwich_my_cock_between_your_lips_and_eat_it,3336,sandwich_my_cock_between_your_lips_and_eat,332,97,no
714,its_ergonomic,3364,it_ergonomic,427,96,no
726,personal_assistance,3481,personal _assistance,302,97,no
735,post_match_pussy_part_one,3503,post_match_pussy_part_two,852,92,no
751,if_the_fields_wet_fuck_it,3554,if_the_field_s_wet_fuck_it,488,98,no
800,bagging_the_bellgirl,3763,begging_the_bellgirl,534,95,no
817,dinners_on_me,3838,dinner_s_on_me,537,96,no
826,d_pd_on_her_honeymoon,3863,dp_d_on_her_honeymoon,591,95,no
832,honey_nut_booty_os,3877,honey_nut_booty_o_s,549,97,no
847,de_constructing_jayden,3980,de_structing_jayden,587,93,no
856,radiant_booty_2,4017,radiant_booty,733,93,no
870,maid_for_anal_2,4093,maid_for_anal,565,93,no
871,maid_for_anal_2,4093,maid_for_anal,565,93,no
881,full_anal_tune_up,4128,full_anal_tuned_up,588,97,no
892,solid_as_a_ro_xxx,4171,solid_as_a_roxxx,621,97,no
903,alexis_ass_times,4219,alexis_ass_time,554,97,no
907,hot_ass_oil_party,4233,hot_ass_oily_party,584,97,no
914,caution_enter_the_ass_zone,4285,caution_enter_the_ass_zone_mp4,568,93,no
924,i_deserve_whats_mine,4429,i_deserve_what_s_mine,819,98,no
928,doc_were_stuck,4524,doc_we_are_stuck,920,93,no
932,the_great_doctor_part_two,4541,the_great_doctor_part_one,867,92,no
943,dont_just_kiss_ass_fuck_it,4569,don_t_just_kiss_ass_fuck_it,933,98,no
950,the_great_doctor_part_one,4585,the_great_doctor_part_two,868,92,no
955,doctors_orders,4614,doctors_order,929,96,no
970,cockupational_therapy,4718,cockuptional_therapy,888,98,no
972,doctors_orders,4614,doctors_order,929,96,no
979,a_full_recovery_part_2,4765,a_full_recovery_part_1,925,95,no
980,take_up_thy_stethoscope_and_fuck,4766,take_up_the_stethoscope_and_fuck,907,97,no
982,sexperiment,4774,sexperiments,940,96,no
990,mammary_lapse,4815,mammary_ lapse,870,96,no
993,dr_presleys_orders,4825,dr_presleys_order,904,97,no
1000,cu_matose,4857,cumatose,864,94,no
1009,naughty_nurse,4908,naughty_nurses,927,96,no
1011,jailhouse_fuck_4,4940,jailhouse_fuck,899,93,no
1015,doctors_orders,4614,doctors_order,929,96,no
1017,naughty_nurse,4908,naughty_nurses,927,96,no
1026,post_match_pussy_part_two,5100,post_match_pussy_part_one,469,92,no
1030,massaging_mrs_moore,5109,massaging_mrs_more,859,97,no
1033,rub_and_fuck_thy_neighbor,5125,rub_and_fuck_the_neighbor,863,96,no
1034,slip_and_slide,5131,slip_and_slide_3,1277,93,no
1035,slut_hotel_part_4,5146,slut_hotel_part_2,5,94,no
